model,supervise_nodes,batch_size,max_epochs,eval_every,patience,trainable_embeddings,word_embeddings,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,test_weighted_f1_mean,test_weighted_f1_std,test_macro_f1_mean,test_macro_f1_std,bin_0_1-5_loss_mean,bin_0_1-5_loss_std,bin_0_1-5_accuracy_mean,bin_0_1-5_accuracy_std,bin_0_1-5_weighted_f1_mean,bin_0_1-5_weighted_f1_std,bin_0_1-5_macro_f1_mean,bin_0_1-5_macro_f1_std,bin_11_56-60_loss_mean,bin_11_56-60_loss_std,bin_11_56-60_accuracy_mean,bin_11_56-60_accuracy_std,bin_11_56-60_weighted_f1_mean,bin_11_56-60_weighted_f1_std,bin_11_56-60_macro_f1_mean,bin_11_56-60_macro_f1_std,bin_1_6-10_loss_mean,bin_1_6-10_loss_std,bin_1_6-10_accuracy_mean,bin_1_6-10_accuracy_std,bin_1_6-10_weighted_f1_mean,bin_1_6-10_weighted_f1_std,bin_1_6-10_macro_f1_mean,bin_1_6-10_macro_f1_std,bin_2_11-15_loss_mean,bin_2_11-15_loss_std,bin_2_11-15_accuracy_mean,bin_2_11-15_accuracy_std,bin_2_11-15_weighted_f1_mean,bin_2_11-15_weighted_f1_std,bin_2_11-15_macro_f1_mean,bin_2_11-15_macro_f1_std,bin_3_16-20_loss_mean,bin_3_16-20_loss_std,bin_3_16-20_accuracy_mean,bin_3_16-20_accuracy_std,bin_3_16-20_weighted_f1_mean,bin_3_16-20_weighted_f1_std,bin_3_16-20_macro_f1_mean,bin_3_16-20_macro_f1_std,bin_4_21-25_loss_mean,bin_4_21-25_loss_std,bin_4_21-25_accuracy_mean,bin_4_21-25_accuracy_std,bin_4_21-25_weighted_f1_mean,bin_4_21-25_weighted_f1_std,bin_4_21-25_macro_f1_mean,bin_4_21-25_macro_f1_std,bin_5_26-30_loss_mean,bin_5_26-30_loss_std,bin_5_26-30_accuracy_mean,bin_5_26-30_accuracy_std,bin_5_26-30_weighted_f1_mean,bin_5_26-30_weighted_f1_std,bin_5_26-30_macro_f1_mean,bin_5_26-30_macro_f1_std,bin_6_31-35_loss_mean,bin_6_31-35_loss_std,bin_6_31-35_accuracy_mean,bin_6_31-35_accuracy_std,bin_6_31-35_weighted_f1_mean,bin_6_31-35_weighted_f1_std,bin_6_31-35_macro_f1_mean,bin_6_31-35_macro_f1_std,bin_7_36-40_loss_mean,bin_7_36-40_loss_std,bin_7_36-40_accuracy_mean,bin_7_36-40_accuracy_std,bin_7_36-40_weighted_f1_mean,bin_7_36-40_weighted_f1_std,bin_7_36-40_macro_f1_mean,bin_7_36-40_macro_f1_std,bin_8_41-45_loss_mean,bin_8_41-45_loss_std,bin_8_41-45_accuracy_mean,bin_8_41-45_accuracy_std,bin_8_41-45_weighted_f1_mean,bin_8_41-45_weighted_f1_std,bin_8_41-45_macro_f1_mean,bin_8_41-45_macro_f1_std,bin_9_46-50_loss_mean,bin_9_46-50_loss_std,bin_9_46-50_accuracy_mean,bin_9_46-50_accuracy_std,bin_9_46-50_weighted_f1_mean,bin_9_46-50_weighted_f1_std,bin_9_46-50_macro_f1_mean,bin_9_46-50_macro_f1_std,model_file
PTDeepCBOW,True,128,100,1,10,True,word2vec,0.07495,0.00147,0.44419,0.00797,0.44406,0.00755,0.4321,0.00725,1.06902,0.00484,0.59722,0.01134,0.57686,0.01179,0.52521,0.0102,1.5215,0.31308,0.0,0.0,0.0,0.0,0.0,0.0,0.43581,0.01,0.475,0.00227,0.48555,0.00188,0.4793,0.00482,0.3018,0.00658,0.43641,0.00734,0.43386,0.00847,0.41999,0.00872,0.32204,0.0079,0.47129,0.01039,0.46916,0.01048,0.45587,0.01236,0.40006,0.0176,0.40667,0.00236,0.40377,0.00279,0.39566,0.00354,0.52697,0.02235,0.41697,0.01124,0.41419,0.01081,0.39215,0.00958,0.69713,0.02782,0.38322,0.03348,0.3753,0.03234,0.37217,0.02626,1.35155,0.02627,0.48,0.01089,0.47082,0.01207,0.47442,0.00462,1.32043,0.06434,0.38462,0.06281,0.35753,0.07447,0.34358,0.09196,2.11731,0.26014,0.27778,0.07857,0.23333,0.12571,0.19074,0.07595,PTDeepCBOW_word2vec_True_True.json
PTDeepCBOW,False,128,100,1,10,True,glove,0.06821,0.00029,0.45792,0.00485,0.43125,0.00745,0.40806,0.00967,1.26415,0.00518,0.40741,0.00655,0.32071,0.01154,0.39024,0.01994,0.8555,0.11225,1.0,0.0,1.0,0.0,1.0,0.0,0.38202,0.00694,0.50833,0.02576,0.48655,0.02791,0.46149,0.02811,0.28834,0.00033,0.44805,0.00588,0.41332,0.0088,0.39208,0.01075,0.29665,0.00212,0.48919,0.00279,0.44897,0.00292,0.43205,0.00468,0.34806,0.00375,0.4275,0.0108,0.39462,0.00834,0.37884,0.00767,0.4516,0.0056,0.42424,0.00747,0.39265,0.0093,0.35054,0.00951,0.61224,0.00753,0.42177,0.01666,0.36804,0.01728,0.33713,0.02378,1.32926,0.0061,0.42667,0.03266,0.38714,0.0392,0.35585,0.05013,1.31624,0.04823,0.35897,0.06537,0.2664,0.07955,0.27017,0.08994,1.227,0.04704,0.61111,0.07857,0.60688,0.06772,0.42011,0.04564,PTDeepCBOW_glove_True_False.json
PTDeepCBOW,True,128,100,1,10,False,glove,0.06954,0.00043,0.44977,0.00242,0.43703,0.00439,0.41739,0.00534,1.04109,0.00958,0.55093,0.03274,0.54395,0.031,0.52322,0.02094,1.45062,0.12222,0.0,0.0,0.0,0.0,0.0,0.0,0.39939,0.00361,0.50278,0.00818,0.50425,0.00746,0.48754,0.00382,0.28422,0.00399,0.45885,0.01239,0.44301,0.01859,0.42285,0.02169,0.30209,0.0024,0.4616,0.00738,0.44307,0.00633,0.42118,0.00859,0.35874,0.00225,0.395,0.00354,0.36913,0.00478,0.34945,0.00674,0.43864,0.00883,0.44242,0.01688,0.41526,0.02207,0.36572,0.02766,0.62538,0.00423,0.40816,0.03888,0.37889,0.04594,0.35469,0.04485,1.34994,0.02148,0.4,0.01089,0.36022,0.01529,0.32219,0.01627,1.27168,0.02068,0.41026,0.01813,0.33923,0.02247,0.34665,0.02839,1.22952,0.09053,0.44444,0.07857,0.45185,0.08381,0.32593,0.0419,PTDeepCBOW_glove_False_True.json
DeepCBOW,True,128,100,1,10,False,glove,0.08615,0.0028,0.39427,0.01153,0.38575,0.01687,0.36319,0.02388,1.35414,0.0311,0.5,0.04943,0.48811,0.04632,0.44613,0.03755,2.20048,0.92802,0.0,0.0,0.0,0.0,0.0,0.0,0.46868,0.02956,0.43519,0.00859,0.43185,0.01108,0.42264,0.0023,0.35445,0.02619,0.38986,0.00424,0.37831,0.00391,0.36887,0.0097,0.36555,0.0097,0.42804,0.01521,0.42356,0.01498,0.40386,0.01807,0.42821,0.00892,0.39,0.01339,0.38337,0.01738,0.36875,0.01807,0.61261,0.02029,0.40606,0.00171,0.40598,0.00193,0.37312,0.00254,0.85404,0.06024,0.35374,0.00555,0.34726,0.01329,0.33717,0.02486,1.75074,0.02275,0.36444,0.03326,0.35694,0.04305,0.3492,0.06063,1.64522,0.10463,0.38462,0.0314,0.34555,0.03428,0.32354,0.03409,1.64451,0.3316,0.38889,0.07857,0.4037,0.1089,0.25556,0.05542,DeepCBOW_glove_False_True.json
LSTM,False,128,100,1,10,False,word2vec,0.06994,7e-05,0.45596,0.01077,0.42331,0.02241,0.39856,0.02574,1.2356,0.05188,0.38426,0.03645,0.3308,0.06632,0.3496,0.05024,2.29571,0.11421,0.0,0.0,0.0,0.0,0.0,0.0,0.39104,0.00976,0.49815,0.01672,0.46656,0.03107,0.42472,0.03833,0.29366,0.00384,0.44805,0.01386,0.40581,0.02308,0.37587,0.02499,0.29934,0.00147,0.5041,0.00863,0.4739,0.02147,0.45136,0.02281,0.36057,0.00522,0.43,0.01541,0.39606,0.02322,0.38011,0.02401,0.47098,0.01404,0.42667,0.01236,0.39727,0.0195,0.35295,0.02488,0.6064,0.01038,0.42857,0.00962,0.39149,0.01334,0.37335,0.02012,1.31661,0.04654,0.41333,0.01886,0.38515,0.00403,0.36373,0.02256,1.38474,0.09899,0.39744,0.03626,0.32157,0.04474,0.33166,0.06819,1.28106,0.13778,0.33333,0.13608,0.37196,0.14684,0.18995,0.05709,LSTM_word2vec_False_False.json
LSTM,False,128,100,1,10,True,glove,0.07726,0.00771,0.45279,0.00175,0.44331,0.00678,0.42096,0.01238,1.15596,0.03039,0.5,0.05197,0.50463,0.0544,0.47322,0.0539,3.75786,1.34605,0.0,0.0,0.0,0.0,0.0,0.0,0.38945,0.00454,0.49815,0.01386,0.49196,0.02255,0.46273,0.03236,0.3177,0.02482,0.43308,0.00311,0.41169,0.00937,0.3846,0.0126,0.32996,0.03379,0.49814,0.0183,0.4885,0.01431,0.46784,0.01079,0.42319,0.06663,0.42917,0.00118,0.4145,0.01204,0.39611,0.01715,0.55929,0.0662,0.43152,0.00454,0.42752,0.00232,0.39431,0.01307,0.77793,0.10584,0.35147,0.01697,0.34197,0.01506,0.32185,0.02195,1.68016,0.18496,0.43111,0.00629,0.42372,0.01074,0.40978,0.02016,1.49413,0.314,0.46154,0.06281,0.45066,0.06701,0.46203,0.05853,2.07082,0.04191,0.44444,0.15713,0.47011,0.13057,0.31079,0.10246,LSTM_glove_True_False.json
TreeLSTM,False,512,50,1,5,False,word2vec,0.24981,0.002,0.46094,0.00747,0.42987,0.01018,0.40265,0.014,1.19152,0.01934,0.42593,0.01732,0.37793,0.02833,0.36997,0.03551,2.00642,0.53585,0.0,0.0,0.0,0.0,0.0,0.0,1.16348,0.00906,0.49537,0.00693,0.4708,0.01459,0.43422,0.02026,1.25206,0.0032,0.46883,0.00933,0.436,0.01328,0.4081,0.01695,1.18348,0.00348,0.5123,0.00659,0.4809,0.00862,0.45567,0.00973,1.36972,0.00753,0.3775,0.01594,0.34178,0.02055,0.32025,0.02422,1.32913,0.01517,0.44121,0.00857,0.4199,0.01091,0.37927,0.01284,1.20225,0.01033,0.46485,0.01283,0.4199,0.0149,0.39495,0.0138,1.20129,0.04085,0.48444,0.0274,0.44108,0.02861,0.39115,0.04332,1.23248,0.02284,0.46154,0.0314,0.40534,0.03481,0.42737,0.0281,1.30408,0.10785,0.61111,0.07857,0.60688,0.06772,0.42011,0.04564,TreeLSTM_word2vec_False_False.json
TreeLSTM,False,512,50,1,5,True,word2vec,0.25809,0.00168,0.42308,0.00483,0.3738,0.00983,0.32308,0.01102,1.31696,0.00497,0.3287,0.02619,0.24153,0.04913,0.23044,0.04279,2.53465,0.73023,0.0,0.0,0.0,0.0,0.0,0.0,1.20969,0.01763,0.45093,0.01732,0.3894,0.02416,0.32976,0.02252,1.24912,0.0046,0.43308,0.00655,0.37195,0.01349,0.32853,0.01467,1.21661,0.01116,0.46383,0.01321,0.41751,0.01905,0.35414,0.01975,1.41268,0.03439,0.36333,0.00965,0.31264,0.00352,0.27377,0.00224,1.35434,0.01169,0.43758,0.01124,0.40581,0.01354,0.33956,0.01393,1.31013,0.03485,0.39456,0.0147,0.34859,0.0227,0.29766,0.02827,1.4052,0.05061,0.41333,0.03266,0.38375,0.03564,0.33723,0.03017,1.38693,0.06969,0.42308,0.0314,0.3679,0.03647,0.33762,0.03349,0.99122,0.1166,0.38889,0.07857,0.42778,0.09106,0.275,0.04462,TreeLSTM_word2vec_True_False.json
ChildSumTreeLSTM,True,512,50,1,5,True,word2vec,0.2797,0.00254,0.45686,0.00186,0.45408,0.00154,0.43928,0.00204,1.01033,0.0264,0.58796,0.01732,0.58157,0.01813,0.54408,0.01988,2.43007,0.49159,0.0,0.0,0.0,0.0,0.0,0.0,1.32574,0.01332,0.50463,0.00346,0.50795,0.00442,0.49367,0.00664,1.40091,0.02064,0.44223,0.01293,0.43749,0.01222,0.42039,0.01228,1.33414,0.01228,0.47129,0.01006,0.46249,0.01085,0.44462,0.00917,1.51275,0.02572,0.425,0.0054,0.41677,0.00558,0.40586,0.00432,1.55015,0.01595,0.42182,0.00891,0.41445,0.00542,0.37501,0.00604,1.44768,0.03291,0.41497,0.02222,0.40068,0.02558,0.38302,0.03195,1.4088,0.03678,0.45333,0.01089,0.4375,0.0224,0.43298,0.03509,1.35359,0.13006,0.51282,0.06537,0.49497,0.0703,0.51568,0.06278,1.60274,0.26425,0.55556,0.07857,0.56455,0.06415,0.36653,0.06607,ChildSumTreeLSTM_word2vec_True_True.json
ChildSumTreeLSTM,True,512,50,1,5,True,glove,0.25022,0.00712,0.48235,0.00559,0.47821,0.00663,0.46544,0.00555,0.93872,0.00739,0.59259,0.04293,0.57651,0.04526,0.52401,0.04637,1.31529,0.1555,0.0,0.0,0.0,0.0,0.0,0.0,1.11296,0.04111,0.56019,0.00571,0.56242,0.00517,0.55484,0.00538,1.26169,0.06103,0.4547,0.00512,0.44855,0.00581,0.43315,0.00878,1.19919,0.02772,0.49217,0.00316,0.48146,0.00723,0.46883,0.00713,1.27524,0.02645,0.45583,0.0123,0.43961,0.01312,0.42244,0.01084,1.39915,0.04794,0.44727,0.01653,0.44022,0.01941,0.41147,0.01721,1.35415,0.03201,0.4127,0.02505,0.39568,0.02995,0.38167,0.02333,1.32178,0.05033,0.49333,0.0,0.47535,0.0118,0.46156,0.01898,1.20809,0.05056,0.51282,0.01813,0.45409,0.00516,0.47737,0.00832,1.14994,0.11371,0.5,0.0,0.52778,0.0,0.29167,0.0,ChildSumTreeLSTM_glove_True_True.json
TreeLSTM,True,512,50,1,5,True,word2vec,0.25824,0.01505,0.46335,0.00242,0.45497,0.0023,0.43768,0.00664,0.96506,0.01632,0.58796,0.02361,0.5707,0.01036,0.52737,0.00285,1.63152,0.48328,0.0,0.0,0.0,0.0,0.0,0.0,1.20343,0.05597,0.52778,0.00818,0.52792,0.00836,0.51627,0.01033,1.28326,0.07829,0.44805,0.01836,0.43691,0.01299,0.41644,0.01109,1.22634,0.05886,0.48695,0.0116,0.47126,0.01123,0.45054,0.00766,1.37919,0.07681,0.41833,0.01359,0.39893,0.01957,0.38375,0.0265,1.40636,0.11355,0.4303,0.00171,0.41558,0.0049,0.37553,0.0076,1.38851,0.04817,0.40363,0.03528,0.37806,0.04143,0.35666,0.04504,1.33039,0.04746,0.47556,0.02266,0.45362,0.01123,0.44148,0.02228,1.33596,0.0475,0.42308,0.0314,0.37007,0.03362,0.37066,0.00908,1.37578,0.18982,0.44444,0.07857,0.45185,0.08381,0.3037,0.07333,TreeLSTM_word2vec_True_True.json
PTDeepCBOW,False,128,100,1,10,False,word2vec,0.07017,0.00052,0.45113,0.00472,0.42268,0.00036,0.39676,0.00324,1.21298,0.01993,0.43519,0.04583,0.40482,0.06168,0.42728,0.04492,1.74245,0.17127,0.0,0.0,0.0,0.0,0.0,0.0,0.39823,0.00192,0.5037,0.00346,0.4918,0.00575,0.46023,0.01023,0.2953,0.00257,0.468,0.00311,0.43826,0.00341,0.4121,0.00459,0.30246,0.00259,0.48098,0.00796,0.44948,0.01251,0.42244,0.01888,0.35959,0.00779,0.38583,0.00624,0.35272,0.00328,0.33345,0.00492,0.45943,0.00765,0.43152,0.01371,0.40034,0.01157,0.34947,0.01193,0.63877,0.01417,0.43084,0.0274,0.38163,0.0225,0.34711,0.02313,1.27574,0.01694,0.41778,0.044,0.3773,0.04153,0.33584,0.03811,1.23923,0.02949,0.41026,0.03626,0.28099,0.04163,0.26359,0.05943,1.22934,0.08335,0.55556,0.07857,0.55899,0.06772,0.38783,0.04564,PTDeepCBOW_word2vec_False_False.json
ChildSumTreeLSTM,False,512,50,1,5,True,glove,0.25449,0.00446,0.44902,0.00468,0.42741,0.01868,0.3976,0.02855,1.23985,0.02757,0.38889,0.04089,0.36292,0.05274,0.3257,0.03545,2.28972,1.09161,0.0,0.0,0.0,0.0,0.0,0.0,1.15958,0.01909,0.5,0.02616,0.47053,0.04522,0.42925,0.05508,1.23398,0.01514,0.44888,0.00888,0.42574,0.00571,0.39991,0.01168,1.20565,0.02289,0.47204,0.00837,0.45411,0.02201,0.42802,0.03707,1.37348,0.04514,0.39667,0.00717,0.36724,0.00819,0.34065,0.01548,1.37154,0.0551,0.44242,0.01339,0.42825,0.01981,0.38472,0.03133,1.31754,0.06996,0.43084,0.01697,0.40489,0.01197,0.37112,0.01747,1.33608,0.02052,0.45333,0.0288,0.43804,0.03766,0.40843,0.05055,1.29681,0.08101,0.47436,0.03626,0.46667,0.03344,0.46031,0.03797,1.04658,0.07496,0.55556,0.07857,0.57381,0.07718,0.34272,0.03756,ChildSumTreeLSTM_glove_True_False.json
ChildSumTreeLSTM,False,512,50,1,5,True,word2vec,0.2604,0.0028,0.42308,0.00677,0.38372,0.00614,0.33611,0.00609,1.30743,0.00444,0.36111,0.04536,0.29209,0.082,0.26573,0.06105,2.82451,0.50328,0.0,0.0,0.0,0.0,0.0,0.0,1.21537,0.00399,0.45556,0.01179,0.40265,0.02252,0.34733,0.02452,1.25043,0.01466,0.43308,0.0047,0.38301,0.00684,0.34199,0.00717,1.2267,0.01239,0.46383,0.01243,0.42971,0.00957,0.37106,0.00881,1.4319,0.02626,0.355,0.00354,0.31469,0.00791,0.27915,0.00947,1.37337,0.03496,0.4303,0.01688,0.40576,0.01435,0.34437,0.01313,1.32396,0.03606,0.39002,0.02312,0.34905,0.02099,0.29823,0.02262,1.41486,0.04189,0.41778,0.00629,0.39471,0.00882,0.35647,0.01025,1.33578,0.03178,0.47436,0.01813,0.42833,0.02802,0.41144,0.04697,1.03579,0.04601,0.44444,0.07857,0.51111,0.09601,0.4,0.14402,ChildSumTreeLSTM_word2vec_True_False.json
LSTM,False,128,100,1,10,True,word2vec,0.07309,0.00088,0.41991,0.00296,0.35445,0.01899,0.3027,0.0243,1.3654,0.0513,0.3287,0.06246,0.24465,0.09406,0.23064,0.06759,2.20914,0.19128,0.0,0.0,0.0,0.0,0.0,0.0,0.42738,0.01082,0.41389,0.00393,0.33099,0.03109,0.26996,0.03932,0.31385,0.00346,0.42893,0.00611,0.34782,0.02907,0.30114,0.0348,0.31107,0.00187,0.47054,0.00211,0.40847,0.01759,0.34484,0.02048,0.37711,0.02106,0.37083,0.00773,0.30749,0.01099,0.26932,0.01467,0.49091,0.03969,0.43758,0.02306,0.38525,0.01589,0.31733,0.02095,0.67553,0.02876,0.40136,0.02003,0.3401,0.00439,0.29712,0.01398,1.39773,0.06495,0.43111,0.01257,0.36981,0.01981,0.31182,0.02307,1.3988,0.05955,0.42308,0.0314,0.35167,0.03166,0.32576,0.02482,1.7019,0.40742,0.33333,0.0,0.34074,0.02619,0.28148,0.05238,LSTM_word2vec_True_False.json
TreeLSTM,True,512,50,1,5,False,word2vec,0.24213,0.00826,0.48567,0.00918,0.47712,0.00976,0.45975,0.01316,0.88626,0.01742,0.64352,0.04293,0.62749,0.0393,0.58402,0.0465,1.80364,0.27012,0.0,0.0,0.0,0.0,0.0,0.0,1.12646,0.02158,0.53148,0.01309,0.53156,0.01435,0.51433,0.01522,1.27927,0.03389,0.45137,0.00539,0.43656,0.00546,0.41573,0.00703,1.14969,0.01996,0.52125,0.01561,0.50361,0.01414,0.48348,0.01755,1.32181,0.06614,0.43667,0.01328,0.41836,0.01527,0.40316,0.01923,1.2849,0.0625,0.46545,0.01071,0.45161,0.00985,0.40904,0.00078,1.24762,0.06627,0.46032,0.01156,0.44334,0.00548,0.43629,0.00737,1.32841,0.11847,0.48,0.01886,0.45017,0.01668,0.43959,0.02084,1.3272,0.07733,0.5,0.0314,0.44971,0.04695,0.43086,0.06771,1.53481,0.21977,0.38889,0.20787,0.35159,0.24044,0.24413,0.15519,TreeLSTM_word2vec_False_True.json
LSTM,True,128,100,1,10,False,glove,0.06526,0.001,0.4917,0.01282,0.48241,0.01704,0.46464,0.01952,0.89522,0.0322,0.61574,0.02619,0.60816,0.02761,0.57478,0.03227,3.07413,1.35301,0.0,0.0,0.0,0.0,0.0,0.0,0.35525,0.01183,0.55741,0.02744,0.55742,0.02939,0.5397,0.03023,0.27155,0.00578,0.48213,0.01646,0.46687,0.02005,0.44742,0.0227,0.27954,0.00298,0.50634,0.01554,0.49188,0.02128,0.47081,0.02492,0.35418,0.01887,0.445,0.0089,0.42258,0.01412,0.40409,0.01598,0.43499,0.00399,0.44606,0.01043,0.43623,0.0148,0.40339,0.01582,0.58252,0.02566,0.47619,0.03469,0.45574,0.04846,0.43311,0.05594,1.25015,0.08072,0.47111,0.03326,0.44116,0.01933,0.40893,0.02133,1.28249,0.14515,0.48718,0.04797,0.42635,0.03934,0.43275,0.03008,1.63792,0.1131,0.55556,0.07857,0.57381,0.07718,0.38505,0.09072,LSTM_glove_False_True.json
