model,supervise_nodes,batch_size,max_epochs,eval_every,patience,trainable_embeddings,word_embeddings,test_loss_mean,test_loss_std,test_accuracy_mean,test_accuracy_std,test_weighted_f1_mean,test_weighted_f1_std,test_macro_f1_mean,test_macro_f1_std,bin_0_1-5_loss_mean,bin_0_1-5_loss_std,bin_0_1-5_accuracy_mean,bin_0_1-5_accuracy_std,bin_0_1-5_weighted_f1_mean,bin_0_1-5_weighted_f1_std,bin_0_1-5_macro_f1_mean,bin_0_1-5_macro_f1_std,bin_11_56-60_loss_mean,bin_11_56-60_loss_std,bin_11_56-60_accuracy_mean,bin_11_56-60_accuracy_std,bin_11_56-60_weighted_f1_mean,bin_11_56-60_weighted_f1_std,bin_11_56-60_macro_f1_mean,bin_11_56-60_macro_f1_std,bin_1_6-10_loss_mean,bin_1_6-10_loss_std,bin_1_6-10_accuracy_mean,bin_1_6-10_accuracy_std,bin_1_6-10_weighted_f1_mean,bin_1_6-10_weighted_f1_std,bin_1_6-10_macro_f1_mean,bin_1_6-10_macro_f1_std,bin_2_11-15_loss_mean,bin_2_11-15_loss_std,bin_2_11-15_accuracy_mean,bin_2_11-15_accuracy_std,bin_2_11-15_weighted_f1_mean,bin_2_11-15_weighted_f1_std,bin_2_11-15_macro_f1_mean,bin_2_11-15_macro_f1_std,bin_3_16-20_loss_mean,bin_3_16-20_loss_std,bin_3_16-20_accuracy_mean,bin_3_16-20_accuracy_std,bin_3_16-20_weighted_f1_mean,bin_3_16-20_weighted_f1_std,bin_3_16-20_macro_f1_mean,bin_3_16-20_macro_f1_std,bin_4_21-25_loss_mean,bin_4_21-25_loss_std,bin_4_21-25_accuracy_mean,bin_4_21-25_accuracy_std,bin_4_21-25_weighted_f1_mean,bin_4_21-25_weighted_f1_std,bin_4_21-25_macro_f1_mean,bin_4_21-25_macro_f1_std,bin_5_26-30_loss_mean,bin_5_26-30_loss_std,bin_5_26-30_accuracy_mean,bin_5_26-30_accuracy_std,bin_5_26-30_weighted_f1_mean,bin_5_26-30_weighted_f1_std,bin_5_26-30_macro_f1_mean,bin_5_26-30_macro_f1_std,bin_6_31-35_loss_mean,bin_6_31-35_loss_std,bin_6_31-35_accuracy_mean,bin_6_31-35_accuracy_std,bin_6_31-35_weighted_f1_mean,bin_6_31-35_weighted_f1_std,bin_6_31-35_macro_f1_mean,bin_6_31-35_macro_f1_std,bin_7_36-40_loss_mean,bin_7_36-40_loss_std,bin_7_36-40_accuracy_mean,bin_7_36-40_accuracy_std,bin_7_36-40_weighted_f1_mean,bin_7_36-40_weighted_f1_std,bin_7_36-40_macro_f1_mean,bin_7_36-40_macro_f1_std,bin_8_41-45_loss_mean,bin_8_41-45_loss_std,bin_8_41-45_accuracy_mean,bin_8_41-45_accuracy_std,bin_8_41-45_weighted_f1_mean,bin_8_41-45_weighted_f1_std,bin_8_41-45_macro_f1_mean,bin_8_41-45_macro_f1_std,bin_9_46-50_loss_mean,bin_9_46-50_loss_std,bin_9_46-50_accuracy_mean,bin_9_46-50_accuracy_std,bin_9_46-50_weighted_f1_mean,bin_9_46-50_weighted_f1_std,bin_9_46-50_macro_f1_mean,bin_9_46-50_macro_f1_std,model_file
PTDeepCBOW,False,128,100,1,10,False,glove,0.06916,0.00019,0.4543,0.00133,0.4328,0.00291,0.41319,0.00461,1.18855,0.01181,0.45833,0.04089,0.45142,0.04479,0.47446,0.04418,1.11168,0.23993,0.66667,0.4714,0.66667,0.4714,0.66667,0.4714,0.38919,0.00424,0.51481,0.01702,0.51255,0.01863,0.49298,0.01978,0.29151,0.00278,0.43724,0.00715,0.41524,0.00569,0.39407,0.00588,0.29603,0.00081,0.50485,0.0046,0.47786,0.0068,0.4612,0.00641,0.34785,0.00062,0.41333,0.01161,0.38116,0.01623,0.36337,0.02046,0.45059,0.00739,0.42424,0.01635,0.39591,0.01024,0.34976,0.00384,0.62358,0.00591,0.41497,0.01666,0.36162,0.01624,0.32935,0.02007,1.31454,0.00874,0.39111,0.01257,0.35187,0.00194,0.32003,0.01296,1.29551,0.0108,0.33333,0.01813,0.23825,0.01766,0.24314,0.03819,1.16367,0.03474,0.5,0.0,0.51111,0.0,0.35556,0.0,PTDeepCBOW_glove_False_False.json
ChildSumTreeLSTM,True,512,50,1,5,False,word2vec,0.24413,0.00362,0.46275,0.00385,0.45127,0.00478,0.43248,0.00755,0.99989,0.01413,0.59259,0.01309,0.55266,0.01864,0.5133,0.02661,1.95911,0.5632,0.0,0.0,0.0,0.0,0.0,0.0,1.14246,0.02133,0.50278,0.00989,0.50383,0.01271,0.49253,0.01352,1.30039,0.01437,0.44057,0.01045,0.41958,0.01526,0.3957,0.01861,1.1856,0.01728,0.49515,0.00919,0.47835,0.00998,0.45771,0.0125,1.31222,0.04127,0.41917,0.01196,0.39424,0.01109,0.37367,0.01095,1.2715,0.05607,0.42182,0.01806,0.39937,0.0156,0.3481,0.01987,1.19394,0.01228,0.46032,0.03901,0.45124,0.04433,0.43968,0.0522,1.30542,0.07891,0.46222,0.044,0.43633,0.04269,0.42751,0.04362,1.28801,0.02108,0.47436,0.04797,0.42461,0.08098,0.42428,0.10748,1.69255,0.23147,0.44444,0.07857,0.45741,0.07595,0.31204,0.06154,ChildSumTreeLSTM_word2vec_False_True.json
ChildSumTreeLSTM,True,512,50,1,5,False,glove,0.23398,0.00188,0.48839,0.00405,0.47504,0.00416,0.46153,0.00629,0.9553,0.00481,0.55556,0.03,0.55102,0.02724,0.52293,0.02451,2.03276,0.51325,0.0,0.0,0.0,0.0,0.0,0.0,1.04591,0.01303,0.56759,0.00524,0.56617,0.00546,0.54878,0.00536,1.1628,0.01805,0.47797,0.00918,0.45782,0.0099,0.43816,0.01158,1.14621,0.00955,0.48919,0.01802,0.4697,0.01784,0.45613,0.0153,1.26184,0.01562,0.44167,0.00312,0.41379,0.00445,0.39948,0.01099,1.2341,0.02835,0.47273,0.02357,0.45889,0.02721,0.42802,0.03068,1.22801,0.03308,0.44671,0.03614,0.41485,0.03768,0.40279,0.04237,1.24649,0.03251,0.50222,0.00629,0.44873,0.00567,0.42938,0.00345,1.28797,0.06679,0.44872,0.04797,0.40326,0.05219,0.4402,0.04162,1.30563,0.20395,0.5,0.0,0.51667,0.00786,0.33426,0.03012,ChildSumTreeLSTM_glove_False_True.json
LSTM,True,128,100,1,10,False,word2vec,0.06774,0.00085,0.47843,0.00374,0.46894,0.00612,0.45398,0.00737,0.87825,0.0213,0.62037,0.02361,0.60235,0.02258,0.57089,0.02499,1.42129,0.52573,0.33333,0.4714,0.33333,0.4714,0.33333,0.4714,0.38285,0.00317,0.51944,0.00454,0.51331,0.00256,0.50233,0.00399,0.28092,0.00443,0.46717,0.00424,0.44717,0.00856,0.42292,0.00954,0.29246,0.00415,0.50634,0.00824,0.49092,0.00403,0.47221,0.0041,0.36854,0.00574,0.43417,0.02239,0.41373,0.02106,0.39947,0.02136,0.47341,0.01255,0.44364,0.02721,0.43179,0.03399,0.40549,0.03802,0.65429,0.0225,0.46259,0.01111,0.4498,0.01487,0.43794,0.01688,1.21961,0.02168,0.48889,0.03326,0.46631,0.03822,0.44901,0.03938,1.36164,0.01865,0.37179,0.03626,0.32711,0.01287,0.33086,0.011,1.72847,0.031,0.27778,0.07857,0.24074,0.12317,0.17481,0.06946,LSTM_word2vec_False_True.json
LSTM,True,128,100,1,10,True,word2vec,0.07244,0.00273,0.46471,0.00883,0.4596,0.00776,0.44428,0.00897,0.91636,0.01013,0.5787,0.03983,0.56403,0.05011,0.51756,0.06178,3.02088,0.34446,0.0,0.0,0.0,0.0,0.0,0.0,0.40537,0.01502,0.52407,0.00131,0.52803,0.00254,0.51809,0.00487,0.2898,0.00437,0.44306,0.01121,0.4292,0.01667,0.40542,0.02021,0.31021,0.00968,0.48248,0.01476,0.47001,0.00985,0.45085,0.01036,0.40227,0.02829,0.42167,0.01983,0.40938,0.02432,0.39785,0.02856,0.51028,0.04331,0.45576,0.02678,0.44348,0.0164,0.40986,0.01171,0.66368,0.06271,0.45125,0.01951,0.43363,0.01434,0.41147,0.00513,1.38073,0.10147,0.39556,0.0619,0.39291,0.05897,0.3997,0.06705,1.46401,0.05726,0.4359,0.01813,0.37415,0.02463,0.39624,0.03604,1.29647,0.09572,0.33333,0.13608,0.44074,0.14064,0.19333,0.10513,LSTM_word2vec_True_True.json
CBOW,False,128,100,1,10,False,glove,0.10226,0.00643,0.32006,0.0251,0.3148,0.02037,0.29643,0.01539,1.55894,0.01891,0.3287,0.01732,0.3354,0.01775,0.32112,0.03163,1.69505,1.0208,0.33333,0.4714,0.33333,0.4714,0.33333,0.4714,0.5208,0.03517,0.33426,0.044,0.3322,0.04118,0.31407,0.03127,0.43085,0.02069,0.31588,0.02488,0.31221,0.02435,0.30177,0.0207,0.44921,0.0331,0.3311,0.01096,0.32722,0.00789,0.31761,0.00503,0.49842,0.04663,0.28,0.03007,0.27475,0.02936,0.27003,0.02782,0.68142,0.06667,0.33818,0.03306,0.33296,0.02939,0.31022,0.02354,1.07363,0.06732,0.31293,0.02003,0.31203,0.02464,0.2911,0.02829,2.38434,0.39405,0.31556,0.09259,0.29828,0.0857,0.28121,0.07139,2.2647,0.15465,0.26923,0.0314,0.22824,0.02847,0.22202,0.0202,2.24933,0.47115,0.33333,0.13608,0.34921,0.09346,0.14392,0.06351,CBOW_glove_False_False.json
CBOW,True,128,100,1,10,False,glove,0.09921,0.00435,0.38296,0.00979,0.37497,0.01395,0.35316,0.01897,1.22146,0.06639,0.48611,0.01134,0.4657,0.01166,0.42107,0.00849,5.68931,0.62474,0.0,0.0,0.0,0.0,0.0,0.0,0.43599,0.00736,0.44722,0.01487,0.43283,0.01974,0.43741,0.02079,0.34174,0.00706,0.39568,0.01978,0.38748,0.021,0.3836,0.02132,0.40258,0.01573,0.42431,0.00211,0.42292,0.00094,0.41531,0.00144,0.46737,0.02209,0.4025,0.01429,0.40085,0.01206,0.39587,0.01311,0.66311,0.04005,0.39515,0.01688,0.39249,0.01724,0.3694,0.01837,0.98412,0.10588,0.34921,0.00848,0.3447,0.008,0.32999,0.00883,2.11925,0.10181,0.34667,0.02177,0.33561,0.02359,0.31317,0.03459,2.16369,0.15886,0.37179,0.04797,0.31946,0.04422,0.31061,0.06733,2.54972,0.49997,0.38889,0.07857,0.39735,0.06697,0.25317,0.03984,CBOW_glove_False_True.json
TreeLSTM,True,512,50,1,5,True,glove,0.24256,0.00768,0.48929,0.00559,0.48535,0.00271,0.47325,6e-05,0.91977,0.01806,0.57407,0.01309,0.55418,0.01146,0.5054,0.01368,1.19051,0.52351,0.33333,0.4714,0.33333,0.4714,0.33333,0.4714,1.07243,0.04101,0.56944,0.02616,0.57156,0.02587,0.56381,0.02007,1.21013,0.04548,0.46301,0.00311,0.45601,0.00148,0.44153,0.00206,1.14735,0.02431,0.51529,0.00738,0.50481,0.0067,0.49214,0.00953,1.2438,0.01892,0.46583,0.00589,0.45199,0.01198,0.43842,0.01494,1.33644,0.04034,0.43273,0.00594,0.42071,0.00726,0.38741,0.00569,1.31691,0.03987,0.40363,0.01603,0.3878,0.01212,0.37582,0.01035,1.27076,0.09232,0.51556,0.03326,0.50183,0.03187,0.49527,0.03406,1.30312,0.06155,0.44872,0.03626,0.3955,0.0386,0.41873,0.03556,1.01984,0.14062,0.61111,0.07857,0.62169,0.06737,0.375,0.06575,TreeLSTM_glove_True_True.json
PTDeepCBOW,False,128,100,1,10,True,word2vec,0.06911,0.00046,0.44811,0.00502,0.42156,0.00521,0.39145,0.00912,1.24502,0.0077,0.43981,0.01732,0.39095,0.0135,0.41559,0.03498,1.66123,0.28309,0.0,0.0,0.0,0.0,0.0,0.0,0.39156,0.00094,0.50741,0.00346,0.48473,0.00444,0.45249,0.00709,0.28656,0.00193,0.46052,0.00715,0.43022,0.00331,0.40761,0.00427,0.30302,0.00264,0.48919,0.01243,0.46002,0.01118,0.44082,0.01385,0.35024,0.00265,0.39583,0.00471,0.36944,0.01008,0.35489,0.01599,0.46987,0.01567,0.44606,0.02914,0.43015,0.03194,0.39465,0.03545,0.62766,0.03099,0.4059,0.01283,0.36745,0.01063,0.3339,0.01019,1.34179,0.00481,0.42222,0.01257,0.37685,0.01932,0.33006,0.0275,1.34001,0.02311,0.37179,0.04797,0.28316,0.06335,0.26687,0.07475,1.38739,0.13928,0.38889,0.07857,0.38889,0.08654,0.26667,0.06542,PTDeepCBOW_word2vec_True_False.json
LSTM,True,128,100,1,10,True,glove,0.07584,0.00273,0.47059,0.00923,0.47191,0.00853,0.46113,0.00806,0.89232,0.01538,0.59722,0.02268,0.58562,0.03177,0.55943,0.03354,2.64823,0.28462,0.0,0.0,0.0,0.0,0.0,0.0,0.4025,0.00308,0.53241,0.00917,0.53793,0.00935,0.53721,0.01166,0.29916,0.0082,0.47631,0.01942,0.47123,0.0182,0.45387,0.0174,0.33102,0.01072,0.47502,0.0038,0.47264,0.00457,0.4603,0.00901,0.40503,0.01557,0.42833,0.0165,0.42162,0.01423,0.4058,0.01319,0.57803,0.03277,0.44121,0.00618,0.44575,0.00593,0.4242,0.00555,0.70959,0.04864,0.44671,0.04658,0.43998,0.04627,0.42389,0.04325,1.42614,0.11596,0.43556,0.03823,0.43201,0.03677,0.42504,0.03426,1.61271,0.0961,0.37179,0.06537,0.34805,0.05774,0.373,0.03961,1.77467,0.18202,0.22222,0.07857,0.32593,0.08381,0.11556,0.03705,LSTM_glove_True_True.json
BOW,True,128,100,1,10,False,glove,0.0864,0.00032,0.36546,0.00364,0.36182,0.00151,0.34383,0.00279,1.28548,0.00911,0.46759,0.00655,0.39769,0.0047,0.32904,0.00511,2.83087,0.77016,0.0,0.0,0.0,0.0,0.0,0.0,0.47553,0.00449,0.35926,0.01609,0.35905,0.0204,0.35251,0.01324,0.34527,0.00351,0.36658,0.01616,0.36254,0.01984,0.34572,0.02276,0.35818,0.00615,0.38852,0.0046,0.38401,0.00667,0.36119,0.01095,0.41044,0.0034,0.3775,0.00816,0.3645,0.00907,0.35181,0.01123,0.54916,0.01574,0.42545,0.02639,0.41116,0.02008,0.37314,0.01394,0.81817,0.03841,0.36281,0.01785,0.34711,0.01223,0.33591,0.00934,1.99101,0.07957,0.30667,0.03925,0.26652,0.03167,0.23852,0.0244,1.8827,0.11777,0.41026,0.06537,0.35797,0.04682,0.36948,0.06105,1.40165,0.22516,0.5,0.27217,0.45414,0.26596,0.3575,0.20543,BOW_glove_False_True.json
TreeLSTM,True,512,50,1,5,False,glove,0.23142,0.00061,0.49789,0.00468,0.48876,0.00407,0.47582,0.00697,0.91266,0.02379,0.60185,0.01732,0.59953,0.0188,0.56435,0.02374,2.08895,0.36286,0.0,0.0,0.0,0.0,0.0,0.0,1.06442,0.00672,0.55648,0.00693,0.55878,0.00675,0.54251,0.00692,1.17351,0.00793,0.46883,0.01272,0.45659,0.00992,0.43903,0.00951,1.09849,0.00529,0.51156,0.00738,0.49245,0.01417,0.48149,0.01627,1.21971,0.00969,0.485,0.01137,0.46659,0.01221,0.45464,0.01578,1.22675,0.00615,0.47394,0.012,0.45961,0.01818,0.42643,0.0233,1.19993,0.02041,0.42404,0.02245,0.40584,0.02952,0.40021,0.03189,1.20298,0.02997,0.49333,0.01089,0.45462,0.01898,0.4268,0.02747,1.09006,0.02633,0.53846,0.0314,0.50348,0.0397,0.50603,0.04474,1.59334,0.47269,0.38889,0.07857,0.42963,0.07333,0.24074,0.08232,TreeLSTM_glove_False_True.json
PTDeepCBOW,True,128,100,1,10,True,glove,0.0694,0.00091,0.46471,0.00591,0.45854,0.0029,0.44509,0.00044,1.13338,0.01527,0.55093,0.00655,0.53907,0.00615,0.48837,0.00854,1.39709,0.30826,0.33333,0.4714,0.33333,0.4714,0.33333,0.4714,0.38487,0.00791,0.52315,0.00346,0.52958,0.00361,0.52452,0.00298,0.28022,0.00421,0.47215,0.01004,0.4642,0.01123,0.4494,0.01131,0.30126,0.00766,0.478,0.01476,0.4637,0.01123,0.45008,0.01045,0.35598,0.00548,0.42667,0.0176,0.41021,0.02106,0.39566,0.0237,0.47749,0.01917,0.44121,0.00618,0.43618,0.01059,0.409,0.01068,0.63452,0.01912,0.36735,0.02421,0.35353,0.01591,0.35118,0.01517,1.39019,0.01745,0.47556,0.02514,0.46088,0.01831,0.46602,0.02306,1.22531,0.06078,0.38462,0.06281,0.3274,0.06977,0.32723,0.06048,1.4721,0.17667,0.44444,0.07857,0.46852,0.10407,0.32222,0.05949,PTDeepCBOW_glove_True_True.json
TreeLSTM,False,128,100,1,10,False,glove,0.06705,0.00074,0.47526,0.00518,0.45795,0.00788,0.4383,0.00945,1.12971,0.00964,0.43519,0.03464,0.43843,0.04033,0.4174,0.04333,2.30607,0.03055,0.0,0.0,0.0,0.0,0.0,0.0,0.37191,0.00231,0.53426,0.00524,0.53018,0.00632,0.50941,0.00811,0.28389,0.00234,0.47963,0.01158,0.46384,0.0121,0.44538,0.01225,0.28772,0.00373,0.49366,0.00587,0.47023,0.00413,0.45072,0.00644,0.36309,0.00957,0.42167,0.00773,0.39423,0.00383,0.37565,0.00746,0.41364,0.00872,0.45697,0.02884,0.43862,0.02485,0.39809,0.02452,0.55617,0.00134,0.44444,0.01283,0.41279,0.02325,0.38834,0.02118,1.17866,0.0062,0.49778,0.00629,0.47601,0.01561,0.44795,0.0168,1.19169,0.03847,0.51282,0.04797,0.45605,0.03893,0.47305,0.04523,1.44706,0.04787,0.55556,0.07857,0.55899,0.06772,0.38783,0.04564,TreeLSTM_glove_False_False.json
PTDeepCBOW,True,128,100,1,10,False,word2vec,0.07079,0.00024,0.44238,0.00548,0.43253,0.0072,0.41442,0.00945,0.96327,0.01121,0.58796,0.01732,0.55826,0.02178,0.51548,0.03625,1.71887,0.22317,0.0,0.0,0.0,0.0,0.0,0.0,0.40547,0.00442,0.47685,0.01732,0.48059,0.01833,0.46519,0.01813,0.29701,0.00181,0.4389,0.00204,0.42425,0.00457,0.40387,0.00496,0.30801,0.00273,0.46234,0.00641,0.44391,0.01193,0.42007,0.01419,0.35414,0.00174,0.39583,0.01359,0.37055,0.01631,0.35412,0.01934,0.45447,0.0052,0.40485,0.012,0.38074,0.01853,0.33288,0.02375,0.64126,0.01673,0.43084,0.02505,0.40905,0.02279,0.40116,0.01916,1.27463,0.04466,0.43556,0.00629,0.39042,0.00771,0.35371,0.01394,1.30419,0.02833,0.47436,0.06537,0.39983,0.04953,0.41692,0.05994,1.20172,0.11812,0.5,0.13608,0.49974,0.13147,0.33598,0.10396,PTDeepCBOW_word2vec_False_True.json
LSTM,False,128,100,1,10,False,glove,0.06939,0.001,0.46787,0.0081,0.45811,0.0082,0.44247,0.00607,1.16031,0.02589,0.48611,0.07436,0.49475,0.07459,0.49965,0.06724,2.51613,0.47748,0.0,0.0,0.0,0.0,0.0,0.0,0.37431,0.00315,0.53889,0.006,0.53507,0.0062,0.51267,0.0063,0.2995,0.00404,0.45885,0.00933,0.44423,0.00843,0.42498,0.00762,0.29412,0.00674,0.49963,0.01875,0.48288,0.01919,0.46363,0.01291,0.37407,0.0072,0.42333,0.00624,0.41133,0.00818,0.39879,0.0113,0.47219,0.01669,0.4303,0.02248,0.42317,0.02221,0.39795,0.01745,0.6736,0.02886,0.42857,0.00962,0.41749,0.01091,0.39532,0.01612,1.36543,0.05148,0.42222,0.0274,0.41641,0.02375,0.40573,0.01993,1.15347,0.03021,0.5,0.0314,0.44765,0.05749,0.46027,0.06544,1.93013,0.07655,0.38889,0.07857,0.48148,0.05238,0.22222,0.07857,LSTM_glove_False_False.json
ChildSumTreeLSTM,False,512,50,1,5,False,word2vec,0.24765,0.00079,0.44902,0.00343,0.40829,0.00446,0.37787,0.00612,1.22528,0.00643,0.41204,0.01309,0.3679,0.02282,0.3647,0.03164,2.25864,0.13509,0.0,0.0,0.0,0.0,0.0,0.0,1.16971,0.00343,0.5,0.01263,0.45956,0.0135,0.41457,0.01387,1.24044,0.00407,0.45968,0.00823,0.41823,0.00964,0.38682,0.01045,1.18476,0.00441,0.50261,0.00919,0.46451,0.0086,0.43818,0.00826,1.37428,0.00789,0.35833,0.01124,0.31241,0.01732,0.28848,0.02089,1.26257,0.0111,0.43515,0.012,0.40328,0.01542,0.34975,0.01943,1.2136,0.00984,0.43764,0.01398,0.38971,0.01394,0.36548,0.01441,1.19756,0.02435,0.40444,0.03326,0.3382,0.0266,0.27604,0.02348,1.26674,0.00582,0.46154,0.0314,0.3816,0.05496,0.37409,0.0677,1.22113,0.03841,0.66667,0.0,0.65476,0.0,0.45238,0.0,ChildSumTreeLSTM_word2vec_False_False.json
DeepCBOW,False,128,100,1,10,False,glove,0.08612,0.00114,0.3451,0.01069,0.31981,0.01572,0.2887,0.01976,1.72128,0.04251,0.25926,0.03983,0.24683,0.03369,0.23613,0.01989,0.69178,0.39789,0.66667,0.4714,0.66667,0.4714,0.66667,0.4714,0.52047,0.0076,0.34444,0.00454,0.33553,0.00469,0.30655,0.00847,0.40846,0.01429,0.29343,0.00848,0.28123,0.00979,0.26445,0.01081,0.39905,0.00405,0.34974,0.01532,0.33387,0.01631,0.3124,0.01392,0.45688,0.0211,0.29583,0.01897,0.28211,0.02212,0.27138,0.02275,0.5403,0.02744,0.35394,0.01339,0.34472,0.02205,0.30942,0.02434,0.84845,0.04075,0.30839,0.02103,0.29012,0.02456,0.27002,0.031,1.77623,0.09224,0.28889,0.02266,0.27625,0.03307,0.24586,0.0428,1.65133,0.11953,0.33333,0.07903,0.31882,0.06926,0.31002,0.0606,1.33329,0.4842,0.61111,0.28328,0.63069,0.26649,0.49947,0.36442,DeepCBOW_glove_False_False.json
TreeLSTM,False,512,50,1,5,True,glove,0.2503,0.00173,0.44495,0.00597,0.4114,0.00337,0.37537,0.00614,1.25873,0.01525,0.37963,0.01309,0.32969,0.00622,0.3133,0.00715,1.46178,0.04846,0.0,0.0,0.0,0.0,0.0,0.0,1.16526,0.0113,0.48796,0.00571,0.44097,0.01028,0.388,0.01134,1.21924,0.00579,0.44555,0.01045,0.40499,0.00685,0.37253,0.0055,1.18404,0.00853,0.47726,0.01243,0.44661,0.01235,0.41507,0.01414,1.32985,0.01188,0.39583,0.01532,0.35603,0.00663,0.32397,0.00282,1.31934,0.0295,0.43394,0.02853,0.40987,0.02367,0.3555,0.01647,1.25365,0.00532,0.41043,0.00321,0.38436,0.00971,0.35109,0.02022,1.34431,0.0285,0.44444,0.0274,0.43751,0.03192,0.42777,0.04677,1.24074,0.03318,0.5641,0.07252,0.52653,0.0915,0.52763,0.07799,1.2419,0.12493,0.38889,0.07857,0.40926,0.08381,0.24722,0.03143,TreeLSTM_glove_True_False.json
BOW,False,128,100,1,10,False,glove,0.08381,0.00021,0.40106,0.00632,0.39806,0.00395,0.37979,0.00259,1.41118,0.08717,0.4213,0.02619,0.39084,0.0492,0.34324,0.05608,6.01081,0.46506,0.0,0.0,0.0,0.0,0.0,0.0,0.49187,0.0413,0.37315,0.04781,0.36808,0.06292,0.36022,0.04597,0.37699,0.01533,0.3857,0.03002,0.38203,0.03045,0.36501,0.02717,0.3868,0.01703,0.37062,0.02643,0.36549,0.03018,0.34884,0.02862,0.41849,0.00147,0.39583,0.00825,0.39486,0.01012,0.38371,0.01424,0.52405,0.01,0.41333,0.01236,0.41459,0.01146,0.38368,0.01305,0.85774,0.01097,0.40136,0.02421,0.39084,0.02524,0.3665,0.02485,1.78728,0.01633,0.37333,0.01089,0.36271,0.01106,0.34174,0.01103,1.81916,0.08311,0.37179,0.03626,0.34846,0.03642,0.32484,0.03786,1.00283,0.06539,0.61111,0.07857,0.62566,0.06952,0.37004,0.06003,BOW_glove_False_False.json
ChildSumTreeLSTM,False,512,50,1,5,False,glove,0.24459,0.00187,0.47255,0.00541,0.45673,0.01201,0.43719,0.01663,1.15231,0.02506,0.46296,0.02361,0.46711,0.02741,0.44608,0.04039,2.49112,0.17666,0.0,0.0,0.0,0.0,0.0,0.0,1.10064,0.0092,0.53611,0.01039,0.53208,0.01117,0.51595,0.01671,1.21123,0.01424,0.47714,0.00823,0.46182,0.01114,0.44226,0.0124,1.17282,0.01223,0.49441,0.00796,0.46943,0.01204,0.44635,0.01359,1.32725,0.01183,0.42,0.01969,0.397,0.03196,0.37748,0.03913,1.28135,0.02426,0.45212,0.01465,0.43674,0.00824,0.40254,0.00542,1.24627,0.0237,0.43537,0.0,0.407,0.00477,0.37498,0.00792,1.22341,0.03806,0.48444,0.01663,0.45618,0.02262,0.43976,0.04159,1.34927,0.04938,0.38462,0.0314,0.31925,0.024,0.34604,0.01912,1.70121,0.22157,0.5,0.13608,0.49974,0.13147,0.33598,0.10396,ChildSumTreeLSTM_glove_False_False.json
